MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L5_covariance,HpHp_L5_pcc,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L3_covariance,HpHp_L3_pcc,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L1_pcc,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc
1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,1507657906,0,1,1507657906,0,1,1507657906,0,1,1507657906,0,1,1507657906,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
1.99658498,566,5.82E-11,1.997949586,566,5.82E-11,1.999316061,566,0,1.999931585,566,1.75E-10,1.999993158,566,1.16E-10,1.99658498,566,5.82E-11,1.997949586,566,5.82E-11,1.999316061,566,0,1.999931585,566,1.75E-10,1.999993158,566,1.16E-10,1.99658498,566,7.63E-06,566,5.82E-11,0,0,1.997949586,566,7.63E-06,566,5.82E-11,0,0,1.999316061,566,0,566,0,0,0,1.999931585,566,1.32E-05,566,1.75E-10,0,0,1.999993158,566,1.08E-05,566,1.16E-10,0,0,1.99658498,752539580.8,5.68E+17,1.997949586,753055329.2,5.68E+17,1.999316061,753571078.3,5.68E+17,1.999931585,753803165.6,5.68E+17,1.999993158,753826374.3,5.68E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
2.958988854,566,0,2.975290726,566,5.82E-11,2.991729188,566,5.82E-11,2.999171365,566,0,2.999917121,566,5.82E-11,2.958988854,566,0,2.975290726,566,5.82E-11,2.991729188,566,5.82E-11,2.999171365,566,0,2.999917121,566,5.82E-11,2.958988854,566,0,566,0,0,0,2.975290726,566,7.63E-06,566,5.82E-11,0,0,2.991729188,566,7.63E-06,566,5.82E-11,0,0,2.999171365,566,0,566,0,0,0,2.999917121,566,7.63E-06,566,5.82E-11,0,0,2.958988854,498216358.3,5.03E+17,2.975290726,499952221.5,5.04E+17,2.991729188,501686288.3,5.05E+17,2.999171365,502466021.5,5.05E+17,2.999917121,502543974.2,5.05E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
3.958979074,566,0,3.975284826,566,0,3.991727211,566,1.16E-10,3.999171167,566,0,3.999917101,566,1.16E-10,3.958979074,566,0,3.975284826,566,0,3.991727211,566,1.16E-10,3.999171167,566,0,3.999917101,566,1.16E-10,3.958979074,566,0,566,0,0,0,3.975284826,566,0,566,0,0,0,3.991727211,566,1.08E-05,566,1.16E-10,0,0,3.999171167,566,0,566,0,0,0,3.999917101,566,1.08E-05,566,1.16E-10,0,0,3.958979074,372371702.6,4.23E+17,3.975284826,374187089.3,4.24E+17,3.991727211,376004782.1,4.26E+17,3.999171167,376823481.9,4.26E+17,3.999917101,376905376.8,4.26E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
4.914188737,566,1.16E-10,4.948238554,566,5.82E-11,4.982653889,566,5.82E-11,4.998261212,566,0,4.999826079,566,1.16E-10,4.914188737,566,1.16E-10,4.948238554,566,5.82E-11,4.982653889,566,5.82E-11,4.998261212,566,0,4.999826079,566,1.16E-10,4.914188737,566,1.08E-05,566,1.16E-10,0,0,4.948238554,566,7.63E-06,566,5.82E-11,0,0,4.982653889,566,7.63E-06,566,5.82E-11,0,0,4.998261212,566,0,566,0,0,0,4.999826079,566,1.08E-05,566,1.16E-10,0,0,4.914188737,296596895.7,3.59E+17,4.948238554,298566828.7,3.61E+17,4.982653889,300542028.6,3.63E+17,4.998261212,301432567.8,3.64E+17,4.999826079,301521679.3,3.64E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
5.854033048,566,1.16E-10,5.911805564,566,0,5.970394958,566,5.82E-11,5.997030115,566,0,5.999702917,566,0,5.854033048,566,1.16E-10,5.911805564,566,0,5.970394958,566,5.82E-11,5.997030115,566,0,5.999702917,566,0,5.854033048,566,1.08E-05,566,1.16E-10,0,0,5.911805564,566,0,566,0,0,0,5.970394958,566,7.63E-06,566,5.82E-11,0,0,5.997030115,566,0,566,0,0,0,5.999702917,566,0,566,0,0,0,5.854033048,245931500.9,3.10E+17,5.911805564,248063336,3.12E+17,5.970394958,250203310.5,3.15E+17,5.997030115,251168926.9,3.16E+17,5.999702917,251265577.7,3.16E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
6.786597765,566,0,6.870850441,566,5.82E-11,6.956575994,566,5.82E-11,6.995640606,566,0,6.99956389,566,1.16E-10,6.786597765,566,0,6.870850441,566,5.82E-11,6.956575994,566,5.82E-11,6.995640606,566,0,6.99956389,566,1.16E-10,6.786597765,566,0,566,0,0,0,6.870850441,566,7.63E-06,566,5.82E-11,0,0,6.956575994,566,7.63E-06,566,5.82E-11,0,0,6.995640606,566,0,566,0,0,0,6.99956389,566,1.08E-05,566,1.16E-10,0,0,6.786597765,209693682,2.72E+17,6.870850441,211959605,2.75E+17,6.956575994,214236865.2,2.77E+17,6.995640606,215265291.9,2.78E+17,6.99956389,215368258.7,2.78E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
7.710726185,566,0,7.824658755,566,5.82E-11,7.940951593,566,5.82E-11,7.994067801,566,0,7.999406506,566,0,7.710726185,566,0,7.824658755,566,5.82E-11,7.940951593,566,5.82E-11,7.994067801,566,0,7.999406506,566,0,7.710726185,566,0,566,0,0,0,7.824658755,566,7.63E-06,566,5.82E-11,0,0,7.940951593,566,7.63E-06,566,5.82E-11,0,0,7.994067801,566,0,566,0,0,0,7.999406506,566,0,566,0,0,0,7.710726185,182498619.3,2.42E+17,7.824658755,184870934.3,2.45E+17,7.940951593,187258125.6,2.47E+17,7.994067801,188337162.6,2.48E+17,7.999406506,188445229,2.49E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
8.548927409,566,0,8.725727525,566,5.82E-11,8.907342352,566,5.82E-11,8.990677935,566,5.82E-11,8.999067228,566,1.16E-10,8.548927409,566,0,8.725727525,566,5.82E-11,8.907342352,566,5.82E-11,8.990677935,566,5.82E-11,8.999067228,566,1.16E-10,8.548927409,566,0,566,0,0,0,8.725727525,566,7.63E-06,566,5.82E-11,0,0,8.907342352,566,7.63E-06,566,5.82E-11,0,0,8.990677935,566,7.63E-06,566,5.82E-11,0,0,8.999067228,566,1.08E-05,566,1.16E-10,0,0,8.548927409,161151073.5,2.17E+17,8.725727525,163684055.1,2.20E+17,8.907342352,166235230.3,2.23E+17,8.990677935,167389113.5,2.24E+17,8.999067228,167504700,2.24E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
9.511176527,566,1.16E-10,9.702588101,566,5.82E-11,9.899461702,566,5.82E-11,9.98988218,566,5.82E-11,9.998987575,566,1.16E-10,9.511176527,566,1.16E-10,9.702588101,566,5.82E-11,9.899461702,566,5.82E-11,9.98988218,566,5.82E-11,9.998987575,566,1.16E-10,9.511176527,566,1.08E-05,566,1.16E-10,0,0,9.702588101,566,7.63E-06,566,5.82E-11,0,0,9.899461702,566,7.63E-06,566,5.82E-11,0,0,9.98988218,566,7.63E-06,566,5.82E-11,0,0,9.998987575,566,1.08E-05,566,1.16E-10,0,0,9.511176527,144207736,1.97E+17,9.702588101,146813911.5,2.00E+17,9.899461702,149442879.8,2.03E+17,9.98988218,150633248.9,2.04E+17,9.998987575,150752533.9,2.05E+17,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0,1,566,0,566,0,0,0
